1-800-Flowers.com,5,9,21,2.7
"1-800-HANSONS, LLC",2,4,23,3.6
14 West,3,13,19,4.1
22nd Century Staffing,2,3,14,4.0
22nd Century Technologies,5,5,43,3.4
2K Games,8,13,61,3.5
365 Retail Markets,2,5,46,4.1
391 Financial,8,13,102,
3D Systems,5,8,46,2.8
3M,7,12,49,3.9
451 Research,3,13,15,3.3
AAA Club Alliance,5,7,20,2.8
AAA Club Alliance,4,9,20,3.4
AAA Club Alliance,8,13,102,2.8
ABB,7,12,52,3.9
ACI Federal™,4,13,40,3.5
ADM,8,1,102,3.3
AGEISS Inc.,3,3,17,4.6
AIDS Healthcare Foundation,5,9,42,4.6
AMERICAN TECHNICAL SERVICES,1,2,17,3.6
APR Consulting Inc,4,6,14,3.6
ARK Solutions,3,5,43,3.9
ASAP Solutions,4,6,43,4.2
ASML,7,11,52,3.9
ASRC Federal Holding Company,6,8,40,3.4
ASSA ABLOY,7,12,51,3.4
ATJ,5,3,17,4.4
AUDACIOUS STUDIOS LLC,5,1,102,4.7
"AVER, LLC",1,13,17,3.6
AWIN,5,8,19,4.4
AZAD Technology Partners,8,13,43,3.9
AbbVie,7,12,12,3.8
Accelerate Diagnostics,3,4,12,4.4
Accelerate Diagnostics,8,13,102,4.4
Accentuate Staffing,1,4,14,4.2
AccruePartners,2,5,14,2.6
Achillion,2,4,12,3.5
ActivTrak,1,13,44,4.8
Acumen,3,4,40,3.3
AdamsGabbert,2,4,17,4.8
Adelante Healthcare,4,5,42,3.1
Advanced Radiology Services,3,7,42,4.0
Advanced Technology Group,2,4,43,3.1
Advantage Resourcing,7,9,14,2.8
Advantmed,5,13,42,3.9
Advocate Aurora Health,7,12,42,3.8
Aegis Premier Solutions,2,1,46,4.7
Aetna,7,12,48,3.4
Ageatia Technology Consultancy Services,2,6,14,3.1
Agilent Technologies,7,10,12,4.1
Agoda,5,8,45,4.2
Air Methods Corporation,5,9,42,3.1
"Airspace Link, Inc.",8,13,102,
Airswift,4,9,14,4.3
Akken Inc,2,3,14,3.9
Akron Children's Hospital,6,9,42,4.0
Alaka`ina Foundation Family of Companies,4,1,102,3.7
Alaska USA Federal Credit Union,5,7,36,3.4
Alation,3,5,44,4.8
Aldrich,3,4,17,3.9
Aldrich,6,10,15,3.3
Aledade,3,13,42,4.8
Alexion Pharmaceuticals,5,10,12,2.9
Alion Science & Technology,5,9,15,3.8
Alion Science and Technology,5,9,15,3.8
Alliance Global Tech Inc.,1,5,102,5.0
Alliance Health Professionals Pllc,4,1,42,1.5
AllianceBernstein,5,10,35,3.3
Alliant Credit Union,4,7,36,3.6
Allied Benefit Systems,3,13,48,3.6
Allo,4,3,89,4.3
Aloha Connects Innovation Program - Oahu,8,13,102,
Altair Engineering,5,7,46,4.1
Altimetrik Corp,5,13,43,3.8
Altisource,6,8,35,3.1
Amazon,7,12,45,3.9
American Auto Shield,3,4,48,4.1
American Credit Acceptance,4,6,34,3.1
American Equity,4,10,48,3.3
American Express,7,12,37,4.2
American Industrial Transport Inc,2,1,102,
American Tax Solutions,5,7,3,3.7
American Tire Distributors,5,11,95,3.0
American United Life Ins Co,8,5,48,3.2
Amrock,5,8,72,3.8
"Amyx, Inc.",4,6,43,4.1
Analytic Partners,2,13,19,3.6
Analytica,2,4,43,3.7
Ancient Nutrition,2,13,27,3.9
Ann Arbor Pharmacometrics Group,1,2,102,
Anthem,7,12,48,3.5
Anthem Health Plans of Virginia,5,9,48,4.4
Aon,7,12,47,3.6
Apex Digital Solutions,1,13,43,3.9
Apex Systems,8,13,102,3.8
Apex Systems,5,10,14,3.8
Apple,7,12,46,4.2
Apple,8,13,102,4.2
AppleOne,5,9,14,3.5
Applecart,1,13,17,5.0
Aramark Uniform & Career Apparel LLC / AUS,8,13,102,
Arapahoe County,5,1,41,3.3
Arapahoe County Sheriff,4,13,41,3.8
"Arapahoe County, CO",5,1,41,3.3
Archer Daniels Midland Company,7,12,6,3.7
"ArcherDX, Inc.",3,13,12,3.3
Arena Technical Resources,2,3,14,3.9
Arize Corporation,1,13,46,5.0
Arizona Bank & Trust,1,1,36,2.5
Arizona Public Service,1,2,58,3.6
Arkansas Blue Cross and Blue Shield,5,10,48,4.1
Arkansas Center for Data Sciences,8,13,102,
Arkansas Children's,8,13,102,3.9
Arkansas Children's,5,8,42,3.9
Arkatechture,1,13,43,4.7
Ascendum,5,7,43,3.3
Ascension,7,7,42,3.4
Ascential,5,7,45,3.6
Asembia,4,3,12,3.6
Ashley Furniture HomeStore,3,7,80,2.9
Assembly,1,13,13,4.2
Associated Computer Systems,1,3,102,4.0
Atlantic Broadband,4,7,45,2.7
Atlantic Health System,7,10,42,3.7
Atlantis Casino Resort & Spa,5,2,11,3.2
Atmos Energy,5,10,69,3.7
Atom Tickets,2,13,9,4.6
Atrium Staffing,2,13,14,3.6
Auburn University,6,8,32,4.5
Audacious Inquiry,2,4,43,4.4
Audi,7,12,59,3.9
Austal USA,5,9,51,3.1
Autoscribe,1,4,37,3.0
Autry Technology Center,2,1,102,4.6
Avani Technology Solutions,4,6,43,4.5
Avcend,2,13,14,3.1
Averity,1,13,14,5.0
Awin,5,8,19,4.4
Axius Tek,2,5,43,3.5
BAE Systems,7,12,3,3.8
BAE Systems USA,7,4,3,3.7
BBVA,7,10,36,3.7
BHcare,2,4,67,3.4
BISSELL,4,13,26,4.0
BJC HealthCare,7,13,42,3.8
BMC HealthNet Plan,4,9,48,2.8
"BSI Financial Services, Inc",3,3,34,3.7
Back Bar USA,3,1,102,
BacklotCars,2,13,45,4.3
Bains Consulting LLC,7,10,17,4.6
Baltimore corps,1,1,102,3.1
Bank Of Blue Valley,2,5,36,3.7
Bank of America,7,12,36,3.9
Banner Engineering Corporation,5,7,52,3.5
Baptist Health South Florida,6,8,42,3.9
Baptist Memorial Health Care,7,8,42,3.4
Barclays,7,12,36,3.9
Barkley,3,5,19,3.3
BarkleyREI,1,3,19,3.3
Barnabas Health,4,3,102,2.2
Bass Pro Shops,7,10,75,3.2
Bay State Search,1,1,14,3.8
Bayer,6,12,12,4.1
Be The Match,4,7,42,3.0
Bear Cognition,8,13,102,
Beaumont Health,7,10,42,3.1
Beeline,3,7,46,4.7
Behler-Young Company,3,7,21,4.2
Bekins,2,5,96,3.1
Belk,5,10,84,3.1
Benchling,3,6,44,5.0
BenefitHub,2,1,102,4.2
"Berger Transfer & Storage, Inc.",3,1,102,
Berkley,1,13,95,4.7
Berkley Select,6,11,48,3.8
Berkshire Bank,5,7,36,3.0
"Berry, Dunn, McNeil & Parker LLC",3,6,17,4.2
Beshton Software,1,1,102,4.0
BetMGM LLC,3,13,11,5.0
Betenbough Companies,3,1,102,5.0
Better Hire,1,1,102,4.0
Betterment,1,2,35,4.4
Big Huge Games,2,13,61,4.9
Bike24 GmbH,2,4,102,4.0
Binance,3,8,45,3.4
BioSource Recruiters,8,13,102,
Bioclinica,5,13,12,4.0
Bizzell Group,2,4,40,4.7
Black Rifle Coffee Company,3,6,50,4.5
BlackRock,7,12,35,4.0
Blacklidge,2,5,58,3.2
Blakely Products,1,1,23,
BlockFi,1,13,34,5.0
Bloom Energy,5,7,68,3.1
Bloomberg,7,13,46,3.9
Blue Cross Blue Shield of Arizona,5,13,48,3.2
Blue Cross and Blue Shield of North Carolina,5,11,48,3.9
Blue Cross and Blue Shield of South Carolina,7,8,48,3.7
Blue Cross of Idaho,4,9,48,2.9
Blue Federal Credit Union,3,13,36,3.9
BlueCross BlueShield of South Carolina,7,8,48,3.7
BlueCross BlueShield of Tennessee,6,11,48,4.4
BlueLabs,1,1,15,4.7
BlueLabs Analytics,1,1,15,4.7
BluePath Labs,1,13,40,5.0
BombBomb,2,13,45,4.1
Bon Secours Mercy Health,7,11,42,3.4
BoomTown,3,4,46,4.2
BoomTown,2,13,43,4.3
Boone Hospital,5,13,42,4.0
Booz Allen Hamilton,7,11,17,4.0
Booz Allen Hamilton Inc.,7,11,17,4.0
Boston Children's Hospital,6,8,42,4.0
Boston Private Bank & Trust Company,4,7,35,3.5
Boston Scientific,7,12,56,4.4
Boulevard Consulting Group,1,13,17,5.0
Boxed,2,13,75,3.5
Bradford and Galt,3,5,43,3.7
Bradford-Scott Data Corporation,2,4,46,3.3
BrainPOP,2,13,29,4.3
"Braven, Inc",1,1,102,4.5
Bread Finance,2,13,45,4.7
Breckenridge Grand Vacations,4,6,100,4.5
Brigham & Women's Hospital(BWH),6,9,42,3.9
Brightway Insurance,3,6,47,3.2
Brinks Home Security,7,10,18,2.9
Broadridge,7,11,37,3.5
Broward Health Imperial Point,6,9,42,3.2
"BruckEdwards, Inc",1,2,43,
Buckeye Community Health Plan,7,12,48,3.5
Built Technologies,2,13,44,4.3
"Burke, Inc.",3,6,19,3.8
Burrell Behavioral Health,5,6,42,2.7
Buxton,8,13,102,1.9
Buxton,1,1,54,1.9
C Spire,8,13,102,4.4
C Spire,5,13,88,4.4
C&S Wholesale Grocers,7,12,21,2.8
C.C. Pace Systems,2,4,17,4.0
CACI,7,10,3,3.8
CACI International,7,10,3,3.8
CACI International Inc,7,10,3,3.8
CAIA Association,1,3,102,3.4
"CALIBRE Systems, Inc.",8,13,102,3.8
CDO Technologies Inc,3,6,46,3.4
CEDENT,1,1,46,
CEDENT,8,13,102,
CENCORE LLC,2,2,40,3.9
CENTRA Technology,3,7,43,3.1
CGI,7,12,17,3.6
"CIty and County of Honolulu, Hawaii",6,13,41,3.9
CMG Financial,5,13,34,4.4
CODEplus,8,1,102,
COLSA,5,7,15,4.2
CORMAC,1,1,46,3.1
CRESCENT BANK & TRUST,3,6,36,3.1
"CRI Advantage, Inc.",2,4,43,3.8
CRST International,6,9,94,3.1
CTG,5,7,43,3.4
CVS Health,7,12,42,2.9
CYNET CORP,4,6,43,4.6
Cabela's,7,10,85,3.0
Cabeus,8,13,102,
Calaxy Tech LLC,8,13,102,
Calhoun County,2,3,31,
"Calhoun, County of (MI)",4,1,102,3.0
Cambia Health,6,13,42,3.8
"Cambria Solutions, Inc",3,6,43,4.2
"Cambridge Investment Research, Inc.",4,7,33,3.4
Camelot Illinois,2,13,11,2.7
Cancer Treatment Centers of America,6,10,42,3.3
Cannon Search,1,1,14,
CapB InfoteK,8,13,102,
Capital Group,6,9,35,4.2
Capital One,7,12,36,4.0
CarGurus,4,8,45,3.9
CareJourney,2,13,42,3.5
CareMetx,3,13,42,3.4
CareSource,5,11,47,3.9
Career Evolutions,1,1,102,2.5
"Career Steps, Inc",2,6,30,3.0
Cargill,7,12,6,3.9
Caris Life Sciences,3,6,15,3.0
Caritas of Austin,2,4,67,3.8
Carl Zeiss,8,1,102,3.5
Carmeuse,5,9,65,4.2
Carpeturn.com,8,13,102,
Cascade Data Labs,1,1,102,5.0
Caserta,2,13,43,4.2
Cash App,8,13,102,
Cashman Equipment,4,7,21,4.1
Casino Fandango,2,1,11,3.1
Catapult Sports,3,13,46,4.1
Catholic Charities Fort Worth,3,13,66,4.1
Cedent Consulting,1,1,17,3.3
Celerion,5,7,12,3.1
Cenergy International,2,4,17,3.3
Cengage,5,9,62,4.0
Cenlar FSB,5,7,102,2.5
Centene,7,12,48,3.5
Centene Corporation,7,12,48,3.5
"Central Business Solutions, Inc",2,3,17,3.0
"Central Florida Health Care, Inc.",3,4,42,2.5
Centralized Management Services LLC,1,1,72,
Centriam,1,13,19,5.0
Centric Consulting,4,7,17,4.7
Centuria Corporation,2,4,43,3.6
Century Communities,4,8,23,3.6
Cepheid,5,8,12,3.4
Cerner Corporation,7,11,46,4.0
Certilytics,2,1,102,5.0
Chamberlain Group Inc,5,13,54,3.1
Change Healthcare,7,13,43,2.8
"Charter Day School, Inc.",1,2,31,2.7
Chatsworth Products,4,7,46,3.4
"Cherokee Nation Businesses, LLC",5,8,2,3.3
Chicago Fire FC,2,3,8,3.6
Chicago Teachers Pension Fund,3,1,41,3.0
Children's Hospital Colorado,5,8,42,4.0
Choptank Transport,3,7,95,3.6
CircleCI,3,13,45,4.0
Circus Circus Las Vegas Hotel and Casino,7,11,100,3.5
CirrusMD,1,1,102,
Citius Tech,5,7,43,3.7
"City of Columbia, MO",5,1,41,2.8
City of New York,3,5,46,
City of New York,7,1,41,3.7
Cityblock Health,3,13,42,3.7
Citywide Bank,2,6,36,3.7
Citywide Bank,8,13,102,3.7
Claflin University,3,6,32,2.8
Cleveland University-Kansas City,8,13,102,
CliniWorks,8,13,102,
Cloud Talent,1,1,102,
CloudServiceTek,2,1,102,
Cloudflare,5,13,45,4.0
Clover Health,4,13,42,3.8
Clymer Farner Barley,8,13,102,
Coalition for Queens,2,13,45,2.9
Coded People Ltd,1,1,43,5.0
Cogent Infotech,3,5,43,4.1
Cognizant Technology Solutions,7,12,102,3.7
Cogo Labs,2,13,45,3.6
"Coherent, Inc.",5,8,51,4.4
Colas Inc. (100),7,12,23,3.7
Colgate-Palmolive,7,12,54,4.1
Collabera,7,8,43,4.1
College Raptor,8,13,102,
Colorado Permanente Medical Group,4,5,42,3.2
Colorado State University,6,4,32,4.2
Columbia University Medical Center,6,8,42,3.6
Comcast,7,12,102,3.7
"Community Action Board of Santa Cruz County, Inc.",8,13,102,
Community Care Cooperative,8,13,102,
"Community Foundation of Northwest Indiana, Inc.",5,7,51,3.6
Community Health Connection,1,2,42,3.6
Community Health Systems,7,12,42,2.7
Community Healthcare System,5,6,42,3.4
Community Hospital,3,5,42,3.5
Community Mental Health Authority,5,13,42,3.5
Commvault,5,8,44,3.3
CompQsoft,2,4,43,3.5
Compass,5,8,44,3.9
Competentia Holding,4,1,102,4.7
Complex Networks,3,7,62,3.6
Computer World Services,3,6,43,2.8
"Conch Technologies, Inc",2,3,17,4.6
Concordia Plans,2,5,67,4.0
Conexess,2,4,2,3.9
Confidential,8,13,102,
Confidential Jobs,8,13,102,
Congensys Corp,2,1,102,4.0
ConnectWise,5,7,43,3.5
Connecticut Coalition to End Homelessness,1,1,102,5.0
Connor Group,3,7,72,4.7
Construct A I Inc,3,7,21,3.7
Contemporary Staffing Solutions,5,7,14,4.1
Continental AG,7,12,49,3.9
Contus,3,3,46,3.7
Cook Group,5,8,56,3.4
Cooper Tire & Rubber,7,10,51,3.3
Cooper Tire & Rubber,8,13,102,3.3
Cooper Tire & Rubber Company,7,10,51,3.3
Corbins Electric,4,7,23,3.8
Core One,1,13,3,
Core Ventures,1,1,102,5.0
Corevance Inc,1,2,14,4.2
Corporate,5,1,102,2.0
Corporate G. LLC,8,13,102,
Corporate G. LLC,3,1,102,
Corteva Agriscience,7,1,5,3.7
"Cotiviti, Inc.",5,8,43,2.9
Cox Communications Inc,7,12,89,3.7
CoxHealth,7,13,42,3.8
Crawford & Co.,6,9,47,3.1
Creative Circle,3,13,14,3.8
Creative Financial Staffing,3,6,14,4.6
Credible,2,13,34,4.3
"Credible Behavioral Health, Inc.",2,5,46,3.9
Credit One Bank,4,13,34,2.8
Credit Suisse,7,12,35,3.9
CreditNinja,1,1,34,5.0
Creedon Technologies,2,1,46,5.0
CrescentCare,3,1,102,2.4
Criteo,5,10,45,3.8
Crossfire Group,2,1,14,4.4
Crowley Maritime,6,9,97,3.6
Crown Equipment Corporation,7,12,43,3.3
Crown Equipment Corporation,7,10,51,3.5
Cue Health,2,13,12,3.9
Cultivate,1,2,19,5.0
Curaleaf,5,13,42,3.1
Cushman & Wakefield,7,13,72,3.7
Custom Computer Specialists,3,6,43,2.5
CyberCoders,3,7,14,4.2
CyberCore Technologies,3,7,18,3.9
Cypress HCM,2,13,14,4.9
D.B. Craig and Associates,1,1,102,
DHL,7,1,95,4.0
DHL Supply Chain,7,13,95,3.7
DHL | Supply Chain,7,12,98,3.8
DISH - Corporate,7,12,89,2.8
DISYS,5,7,43,3.4
DPSCD,8,13,102,
DRB,3,7,46,3.3
"DRB Systems, LLC",3,7,46,3.3
"DRT Strategies, Inc.",3,6,40,3.6
DS Technologies Inc,1,2,102,5.0
DSI Systems,3,6,21,3.7
DSV,5,13,95,2.9
DailyPay Inc,2,13,37,4.4
Dallas County,3,6,41,3.4
"Dallas County, TX",8,13,102,
Darden,7,11,74,4.0
"Data and Analytic Solutions, Inc. (DAS)",8,13,102,
Datadog,5,7,46,4.2
DatamanUSA,2,3,43,3.4
"Datanalytics, Inc.",8,13,102,
Datto,5,7,43,3.8
Datto Inc.,5,7,43,3.8
Davey Tree,7,9,4,3.5
Daylight Solutions,2,5,3,4.8
Deaconess,6,2,42,3.8
Deep Labs,1,13,46,3.8
Delaware Nation Industries (DNI),3,1,102,4.5
Delaware State University,4,6,32,3.3
Deliverr Inc,2,13,95,4.8
Deloitte,7,12,2,3.8
DenkenSolutions Inc,8,13,102,
Dentsply Sirona,7,10,56,3.4
Denver Rescue Mission,2,5,67,3.4
Department of Justice,7,1,40,4.0
Desert Financial Credit Union,5,6,36,3.3
Detroit Public Schools,6,8,29,2.5
Deutsche Bank,7,12,36,3.7
Dextro Software Systems,2,4,43,3.5
Digital River,5,7,45,3.4
Digitas,6,13,19,3.5
Dignity Health,7,12,42,3.7
Dillard's,7,11,84,2.9
"DirectViz Solutions, LLC",3,4,43,3.3
Directions for Living,3,1,67,3.2
Discover,7,11,37,3.9
Discover Financial Services,7,11,37,3.9
"Diversified Transfer & Storage, Inc",2,5,94,3.2
Dixon Hughes Goodman,5,7,2,4.0
Dixon Resources Unlimited,8,13,102,
"Dixon Valve & Coupling Company, LLC",3,7,51,3.4
Dizer Corp,1,3,43,4.0
Dodge Data & Analytics,3,13,43,2.6
Dominion National,2,13,48,2.8
Dots Technologies,1,2,43,4.5
Doximity,3,13,44,4.7
Dril-Quip,5,8,69,3.1
Drizly,3,13,45,4.8
Dubuque Bank and Trust,2,6,36,3.4
"Dude Solutions, Inc.",4,7,46,2.9
Duke University Health System,7,10,42,3.8
Dynamic Interactive Business Systems,2,1,102,
Dynetics,5,7,3,4.2
EASTCONN,3,5,30,3.1
EApps Tech LLC,8,13,102,
EBI Management Group,1,1,102,
ECMD,4,7,19,3.3
EDULOG,2,13,30,2.4
EMS Management & Consultants,2,5,17,2.9
ENGIE North America Inc.,6,10,68,3.8
EQRx,2,13,12,5.0
ERGO Group,3,5,44,3.2
"ERT, Inc.",3,6,46,4.0
ESAI Energy LLC,8,13,102,
EXL Service,7,8,17,3.5
EXOS,5,7,42,3.9
Eagle Physicians & Associates,3,5,102,3.3
Early Warning Services,4,7,36,3.1
East Alabama Medical Center,5,7,42,3.6
East Tennessee State,5,7,32,3.8
Eastern Maine Healthcare Systems,7,9,42,3.3
Edelman Financial Engines,5,13,35,3.3
Edgewater Technical Associates,2,3,17,3.6
Edison Energy,2,13,68,2.6
Edison Software,2,2,46,5.0
Edward Jones,7,11,35,3.8
Edwards Ltd,5,9,51,3.5
Efinancial,3,6,47,3.6
Efortles Inc.,1,1,2,1.0
Elasticiti,1,13,17,5.0
"Electronic Consulting Services, Inc.",5,8,43,3.9
Elevations Credit Union,4,6,35,4.0
Elite flowers,8,1,102,
Ellington Management Group,2,3,35,3.7
Elsevier,6,10,62,3.7
Emendata,1,1,102,
Enable Data,8,1,102,5.0
Enable Midstream Partners,3,4,70,3.5
Ensemble Health Partners,5,13,42,4.1
Ensono,5,13,43,3.1
Envision LLC,3,5,14,4.5
Epic Games,5,13,61,3.9
Equifax,7,10,38,3.1
EquipmentShare,5,8,22,4.2
Eskenazi Health,5,5,42,4.2
Eurofins Scientific,7,10,12,3.4
Evergreen Technologies,5,1,93,3.6
Everlane,2,3,83,3.7
Everstaff,1,4,14,3.5
Everything But The House,4,6,78,2.1
Evolent Health,5,5,42,3.1
Excelon Solutions,8,13,102,
Executive Jet Management,4,8,99,3.0
Exelixis,4,13,12,3.3
Exl Service,7,8,17,3.5
Expleo,7,9,17,4.0
FAMILY HEALTH CARE CENTER OF KALAMAZOO,8,13,102,
FCP Euro,1,1,102,5.0
FHLB Des Moines,3,8,36,3.4
FHLBank Topeka,2,8,36,3.7
FIRST CHOICE COMMUNITY HEALTHCARE,3,5,42,2.4
FPM Technologies,1,3,102,
Facebook,7,11,45,4.5
Family Resource Center,2,1,102,
FanDuel,4,7,8,4.0
FanDuel,8,13,102,4.0
Fanatics,6,9,85,3.5
"Farmer's Business Network, Inc.",3,13,5,3.4
Fast Switch - Great Lakes,8,13,102,
Fattmerchant,2,2,37,4.5
Federal Home Loan Bank of Des Moines,8,13,102,
Federal Reserve Bank of Boston,5,10,36,4.1
Federal Reserve Bank of Minneapolis,5,8,36,3.8
Federal Reserve Bank of San Francisco,5,7,38,3.6
Ferrellgas,5,9,68,3.1
"Fibertel, LLC.",2,1,102,3.4
Fidelis Group,2,4,17,3.5
Fidelity Investments,7,12,35,4.0
Fidelity TalentSource,5,13,14,3.9
Filutowski Eye Institute,2,1,42,4.7
Financial Recovery Technologies,2,5,37,4.5
Finish Line,7,9,84,3.7
Fintech Recruiters,8,1,102,
Fircroft,5,8,14,3.4
First American Financial Corporation,7,11,48,3.5
First Hawaiian Bank,5,8,36,3.8
First Legal,4,13,1,3.4
First Orion,3,13,44,4.9
First Tech Federal Credit Union,5,7,36,3.2
FirstBank,5,7,36,3.8
FirstBank & Trust,2,6,36,3.6
Fiserv,7,12,37,3.2
Five Star Bank,4,7,35,3.1
Fivesky,2,5,44,4.7
Fivesky,2,5,62,2.3
Flagstar Bank,5,8,36,3.3
Flair IT Solutions,1,1,43,3.4
Fluke,5,9,52,3.7
